review_text,rating,date,bank_name,source
"This is the best app ever, when is it planned to include digital lending and gasification?",5,2025-04-22,Commercial Bank of Ethiopia,Google Play
"A powerful, local solution that rivals any global app. I love how easy it is to explore services and products.",5,2025-04-22,Commercial Bank of Ethiopia,Google Play
Dashen bank is my number one choice,5,2025-04-22,Commercial Bank of Ethiopia,Google Play
Assefa Genetu = Dashen superup is the latest and inclussive .I am happy with this super up.,5,2025-04-22,Commercial Bank of Ethiopia,Google Play
"The App is incredibly user-friendly and brings multiple services into one place. It's fast, intuitive, and makes daily tasks super convenient. A true all-in-one solution!",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"Proudly made in Ethiopia, this innovation delivers more than promised. The marketplace is a major boost for local commerce",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
it so fanrastic and user friendly app. Bravo Dashen bank thanks.,5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"one of the best digital platforms I've used! from smooth transactions to a seamless shopping experience, highly recommended.",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
A proudly Ethiopia innovation that delivers beyond expectations. The marketplace feature is a big win for local shoppers bnd sellers,5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"Dashen Super App is a game-changer! It’s fast, user-friendly, and packed with features that make everyday banking and transactions super convenient. I love how everything I need from mobile banking to utility payments is all in one place. The interface is clean, and everything works smoothly. Definitely one of the best apps out there. Highly recommended!",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
Easy to use and has many options. It is the best financial app I have ever used.,5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"Highly impressed! Dash Bank really nailed it with this app. Secure, reliable, and packed with features I use daily",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"One of the best digital platforms I’ve used! From smooth transactions to a seamless shopping experience, Highly recommended",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"This app has everything I was looking for, dashen is becoming a grandmaster.",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
Very convenient,5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"The user experience is seamless, and everything just works perfectly right out of the box. I can’t believe how much time and effort it saves me every day.",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
wawwwww what nice super app !!keep it up dashen bank !!,5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"Dashen SuperApp the ultimate all-in-one solution! From banking and shopping to bill payments, everything you need is right at your fingertips. Life just got a whole lot easier!",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"It is,really super because of its unique offerings to individuals and businesses.It is a secure UX first app intended to cater comprehensive digital meeds.I am also happy to know that Dashen is considering to make the app more inclusive by lowering the mobile version requirements .",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"the very easy, secured, fast and multifunctional dashen supper application I ever seen. dashen really one steps ahead!!!",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"One app for everything! I can shop, manage my bank account , and do so much more . Truly a super app",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
one of the best digital platforms I’ve used! From smooth transactions to a seamless shopping experie,5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"Dashen Bank super App is the most suitable, reliable, and fast digital banking system.",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
Excellent app.,5,2025-04-21,Commercial Bank of Ethiopia,Google Play
This is what we call banking app. As professional I want banking app as simple as this and an app rich of features that align with my lifestyle.,5,2025-04-21,Commercial Bank of Ethiopia,Google Play
thanks again,5,2025-04-21,Commercial Bank of Ethiopia,Google Play
Super Easy To Use and Fast Transaction.,5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"I have an incredible experience with Dashen super app, what an amazing platform is it?. keep pioneering in technological advancement 👏👏👏",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"i can't recommend the Dashen Super App enough! This app is truly a game changer for anyone looking for a seamless and efficient way to manage their daily life. It combines multiple essential services into one easy-to-use platform, saving time and simplifying tasks The user interface is modern, intuitive, and super responsive, making navigation a breeze. Whether it's banking, payment services, or accessing lifestyle features, everything is just a few clicks away!!",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"The app is incredibly handy for managing multiple financial tasks, from bill payments to managing budgets. It’s saved me a lot of time and made banking way more convenient. Definitely worth checking out!",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
what an App,5,2025-04-21,Commercial Bank of Ethiopia,Google Play
The new e-commerce feature is incredibly amazing and user friendly.,5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"dashen bank supper app is the most easy to use and have high speed,quality and I like features like chat,budget,fuel payment, and security for my opinion this product is techonolgy edge,this international standard thanks for product oweners (dashen bank)",3,2025-04-21,Commercial Bank of Ethiopia,Google Play
"The Dashen supperapp is a revolutionary advancement in digital banking, combining exceptional usability, an intuitive interface and a seamless user experience. among its standout features are the integration of QR codes, account statement, transaction advise, chat, transaction authentication for limit thresholds, budgeting and different app in a single dashboard. Truly ahead of the curve ..... keep up the excellent work 🤝👏",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"A proudly Ethiopian innovation that delivers beyond expectations. The marketplace feature is a big win for local shoppers and sellers. Very impressed with the new updates, The e-commerce section is smooth and supports Ethiopian merchants!",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"Very impressed with the new updates, The e-commerce section is smooth and supports Ethiopian merchants.",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
"Dashen Bank Super App is fast, reliable, and super easy to use. All my banking needs are handled smoothly in one place. Clean design and seamless experience – highly recommended!",5,2025-04-21,Commercial Bank of Ethiopia,Google Play
